id,user,created_at,text,sentiment,score
1004520007609380864,taeyeonisttic,2018-06-07 00:26:47,"I really hope it turns out the BP way, many were tryin to boycott Black Panther but ended up being a huge success I… https://t.co/pZ9G0dpVUl",Positive,0.18
1004519995433512960,Ash_Shaunte,2018-06-07 00:26:44,Suad got a real black panther in north Philly 😩,Positive,0.28
1004519911308365825,Soulfood_329,2018-06-07 00:26:24,Said done brought a real black panther to north Philly #fixitjesus now when he eat up the block nobody better not say shit lol,Negative,-0.06
1004519841540210689,PrettyBabiMaker,2018-06-07 00:26:07,Fun fact of the day..there is no such thing as a black panther..it’s a black jag 🤔,Positive,0.04
1004519782748737537,peepgawd2,2018-06-07 00:25:53,Every time I watch Black Panther I realize how nice it would be to have a man in my life 💀,Positive,0.24
1004519700154535936,str8upatman,2018-06-07 00:25:34,And people thought me seeing Black Panther in theaters 4 times was crazy... https://t.co/4LqV3qkOi9,Positive,0.18
1004519692596383744,Serious_George,2018-06-07 00:25:32,"Black Panther has nothing to do with the Black Panther political group or Black Panther the animal, and is a lot le… https://t.co/2jP478FinZ",Negative,-0.25
1004519688355926017,HeadBodyMaster,2018-06-07 00:25:31,Black Panther Deadpool 2  I have yet to see any other movies that have come out this year. https://t.co/Kabykdx2xx,Positive,0.08
1004519483581648896,_missdukes,2018-06-07 00:24:42,One reason why I didn’t take walks at night living in Florida....I was too scared to run into a wild black panther.… https://t.co/MpMw4XkKEf,Negative,-0.25
1004519237740883968,WEKetchum,2018-06-07 00:23:43,@MPHX3 And it’s not only that three lyricists do great numbers. It’s the fact that the *only* rappers guaranteed to… https://t.co/vBxGEu79Tb,Positive,0.02
1004519165498142720,HustleBoiMuzik,2018-06-07 00:23:26,Phil Lamarr on Voicing Black Panther Video Game and Black Panther Cartoo... https://t.co/LA8R5MH9BX via @YouTube,Positive,0.1
1004518938540232704,HarmonyJonez,2018-06-07 00:22:32,Want to know how I got casted for Black Panther??? Atlanta Casting Call!!! https://t.co/tSwJ5xfLjw,Positive,0.24
1004518844529106944,elscarface1,2018-06-07 00:22:10,@verdict4489 black panther 😂😂,Neutural,0.0
1004518772722556928,TheSkarin69,2018-06-07 00:21:53,@AngelySaras Terminando black panther,Neutural,0.0
1004518688827904000,cenk_mx,2018-06-07 00:21:33,@shownuthesims Next Black Panther 😎,Neutural,0.0
1004518650647375877,BeatBanga77,2018-06-07 00:21:24,BLACK PANTHER Trailer 2 (Extended) Marvel 2018 - https://t.co/hsPYFTlz5e https://t.co/18kkgyBWzh,Neutural,0.0
1004518626463019008,SibrinaCollins,2018-06-07 00:21:18,@CullenChemEdX Your colleague asked me to reach out to you regarding my recent paper on Black Panther.,Positive,0.19
1004518614182039552,chadwickbjordan,2018-06-07 00:21:15,"Y’all the dynamic that Chadwick, Leticia and Angela had in Black Panther.... WHEW we love a family",Positive,0.76
1004518516400279552,BrianaSPerez,2018-06-07 00:20:52,my friends &amp; I watching black panther at this exact scene : “WIG FLEW ! “ https://t.co/DoahEDJgKc,Positive,0.49
1004518481159696384,AMBrr_Zoe,2018-06-07 00:20:43,"So Ashley &amp; Antai watched The Black Panther (we’re waiters, don’t judge) but I wish they would’ve waited longer",Positive,0.58
1004518475358928896,domina_sakhmet,2018-06-07 00:20:42,If you want to know how much I care about men just know my favorite character in Black Panther is Okoye and I have… https://t.co/Ya4NSZFPWs,Positive,0.35
1004518439963299840,JefferySimpson,2018-06-07 00:20:33,- Cyclops (X-Men) - The Pontiac Bandit (Brooklyn 99) - Crazy Harry (Muppets) - @PFTompkins (well dressed trustworth… https://t.co/mhqqr3CsuT,Positive,0.47
1004518437484417025,deepseadawn,2018-06-07 00:20:33,"Black Panther, Vibranium, and the Periodic Table https://t.co/EhbRpG81gq with thx to Vanguard-STEM and… https://t.co/qAdxKK05KW",Positive,0.55
1004518299978420224,multiversitycom,2018-06-07 00:20:00,"Nnedi Okorafor and Tana Ford, most recently the creative team on ""Black Panther: Long Live The King,"" reunite for a… https://t.co/NUpCwAyZT5",Positive,0.08
1004518299630125056,heroichollywood,2018-06-07 00:20:00,Samuel L. Jackson Wanted Nick Fury To Be In ‘Black Panther’ https://t.co/Pzl9OG95k5 https://t.co/UeqA2YrYXp,Positive,0.42
1004518271532466176,real_vilangil,2018-06-07 00:19:53,Samuel L. Jackson Still Can’t Believe He Wasn’t In Black Panther https://t.co/uim1oVG1eB https://t.co/l9YbIWLxUo,Neutural,0.0
1004518130381611008,High_Mayyy,2018-06-07 00:19:19,@alextumay Black Panther album was pretty sick,Positive,0.02
1004517971836821504,shurixokoye,2018-06-07 00:18:42,And I thought @chadwickbjordan seeing Black Panther 8(?) times was a lot https://t.co/oNEQiGwL2n,Positive,0.09
1004517944179585024,Marquezalex_,2018-06-07 00:18:35,"@Shibbroni @NemRaps @MoviePass Yeah I saw black panther 5x and ready player one 4x before they changed it, but I’ve… https://t.co/zQoC5TRWDF",Positive,0.47
1004517770854326273,AndoAW,2018-06-07 00:17:54,Watched some of Black Panther in the flight home today. Erik Killmonger’s last line still gives me chills.,Positive,0.09
1004517575513071617,John_Liberator,2018-06-07 00:17:07,@countrycookin1 really did a Wakanda themed prom in North Philly with dancers and a real live Black panther? Sis is the GOAT. 💯💯💯,Positive,0.14
1004517396181389312,JaeeeeeeRAW,2018-06-07 00:16:24,He said tell me you don’t miss me and I’ll sit here and watch “wakanda” i said nigga it’s called black panther 😂,Positive,0.05
1004517324303556609,fullofbass,2018-06-07 00:16:07,@Steph_I_Will Fun fact he did get a signed issue #2 of Black Panther by the artist.  Don’t worry about where I got it.,Positive,0.54
1004517246352482304,DevinJamaal_,2018-06-07 00:15:49,"Black panther was a good ass movie, regardless if you’re into the superhero movies or not",Negative,-0.07
1004517071944904704,mark14907,2018-06-07 00:15:07,Skip the Avengers: Why Entrepreneurs Should Watch 'Black Panther' Again Instead https://t.co/rd1GGCEzPP,Positive,0.27
1004516908295696384,FlorianHeigl1,2018-06-07 00:14:28,"@rjw1 reminds of Neverwhere (when they go down, down, down and down deeper to the London dungeon to fight the beast… https://t.co/RB7DeBuink",Negative,-0.02
1004516880860803073,sirlindsay,2018-06-07 00:14:22,"legit in love with black panther, 10/10 and then some",Positive,0.88
1004516599959883777,teionneai,2018-06-07 00:13:15,me at the beginning of the year: okay we're getting black panther and incredibles 2 so that's great but other than… https://t.co/1lFQoGwoQb,Positive,0.38
1004516576853397504,zzeeehhhh,2018-06-07 00:13:09,Black Panther Song | Respect My Throne | [Prod by Caliber Beats] #NerdOut https://t.co/zDdB9b9dFX via @YouTube,Positive,0.44
1004516522809876483,WEKetchum,2018-06-07 00:12:56,"@brianafennell Only three rappers do numbers every time, and they’re all lyricists. Who had a song on NBA playoffs… https://t.co/ZX9nVTDuNv",Positive,0.13
1004516326151516160,benbrns,2018-06-07 00:12:09,"i'm sick, studying and my sister is rewatching black panther without me. i was betrayed. https://t.co/CKU6OYxum1",Negative,-0.72
1004516290982219777,TrevTaughtYou,2018-06-07 00:12:01,I wanna watch Black Panther 🗣,Positive,0.27
1004516278961344512,superjonas,2018-06-07 00:11:58,Viendo Black Panther,Neutural,0.0
1004516277682102272,ManyFacedSET,2018-06-07 00:11:58,this the dude that got black panther to $1billion in the box office https://t.co/djLazQegVQ,Positive,0.24
1004516099101057030,SomrueVTM,2018-06-07 00:11:15,@TalkFilmSoc @neilhimself Black panther was so underwhelming. Annihilation had a deep level of horror about alien b… https://t.co/h5Kn7vXfNd,Negative,-0.8
1004516072597475329,ImBEEingMe,2018-06-07 00:11:09,I have yet to see Black Panther. You can slander my name now.,Positive,0.23
1004516067761360896,TrevittTrev,2018-06-07 00:11:08,@HeadBandBrother @ChefHigh @RedGrassState @AllStarAndyDC @bullthesis @aguiaaa87 @DawJeremy @nationofnerds… https://t.co/NjTtb4WV1Z,Neutural,0.0
1004515956184551425,emilygraves1313,2018-06-07 00:10:41,"today was a day of watching new movies that i’ve been putting off soooo black panther and love, simon are now offic… https://t.co/EBwnDQLl4S",Positive,0.4
1004515917404033024,YOBLACKKING,2018-06-07 00:10:32,[Mixtape] Black KinG YO - Black panther illusion @Spinrilla » https://t.co/YoaHzm8UWd,Negative,-0.05
1004515697802792960,iambri_97,2018-06-07 00:09:40,"Why would you want to see Infinity War 42 Times when Black Panther and Deadpool 2 are both like, right there? https://t.co/7lopwhvbk5",Positive,0.22
1004515439328800769,soulbrospeaks,2018-06-07 00:08:38,Fantastic!!! https://t.co/NoPIxPh9Hb,Positive,0.94
1004515379731992576,Tyler_Tesoriero,2018-06-07 00:08:24,Never listen to movie critics they are the worst I was told by numerous movie critics black panther is the greatest… https://t.co/YxSgYnPM4R,Negative,-0.11
1004515370986889216,Cinemaedintorni,2018-06-07 00:08:22,Recensione Black Panther (Home Video) https://t.co/5gSbzc9bzm,Positive,0.18
1004515328871804930,Agusttreasure,2018-06-07 00:08:12,"Ok, so Black Panther has a accent while talking in English but ""E.Ts"" Gamora and Thanos doesn't",Positive,0.19
1004515311662632965,YoungQwan,2018-06-07 00:08:07,@BRedLove @NY_Wiseass Do the black Panther one,Neutural,0.0
1004514974931345409,100Gs1,2018-06-07 00:06:47,New black panther blaster base coat https://t.co/YnRjQuoSyb,Positive,0.41
1004514914889805825,StrawbeRryryr,2018-06-07 00:06:33,I didn't finish black panther but t'challa and shuri are my bbys,Neutural,0.0
1004514900155207680,Eke725,2018-06-07 00:06:29,I still haven’t seen black panther,Positive,0.09
1004514835181260801,ArthurAugustyn,2018-06-07 00:06:14,Annihilation First Reformed Black Panther https://t.co/EZpFdcrPBL,Neutural,0.0
1004514780797964288,jeanne_vegan13,2018-06-07 00:06:01,Finally going to watch 'Black Panther' in half an hour!  Yay👍,Positive,0.18
1004514620831232000,BarndogKarck,2018-06-07 00:05:23,Demolished my only work friendship by telling my black coworker that a Wolverine reboot starring a comics accurate… https://t.co/E76hKW2k6I,Negative,-0.06
1004514570952732681,LemonSweetener,2018-06-07 00:05:11,oh yeah and also she referenced black panther a LOT. One of the interludes was playing X from the album,Positive,0.32
1004514265674461185,maryszigeti,2018-06-07 00:03:58,26 Life and Business Lessons From Black Panther Movie https://t.co/rwK5VmKOSy via @amazon,Positive,0.04
1004514235815260160,LRM_Exclusive,2018-06-07 00:03:51,Samuel L. Jackson Wishes He Was In Black Panther #BlackPanther #MarvelCinematicUniverse https://t.co/u4HIll7YVp https://t.co/KyPww69bYM,Neutural,0.0
1004514227518832640,The_RealJPrince,2018-06-07 00:03:49,@UCMANNY_ Black panther was a tie to me between the two,Neutural,0.0
1004514145503535105,xochtille,2018-06-07 00:03:29,"i have a marvel comic tank top, a marvel comic shirt, black panther shirt i literally want MORE",Positive,0.34
1004514002364436485,TheRealKiddLee,2018-06-07 00:02:55,@Primo_BasedGod @The_BluntTRUTH Nope T'challa is gonna become the king of the dead.. that world where all the dead… https://t.co/XX2ScA5E9Y,Positive,0.08
1004513886547177477,TonyHighwind,2018-06-07 00:02:28,"@manicsocratic Thanos snaps and Nintendo fades, sure.  But in exactly the same way Black Panther did; your sadness… https://t.co/UWtkdK1NUt",Positive,0.3
1004513828439289857,sisklea,2018-06-07 00:02:14,lmao they really had black panther yell wakanda forever before that final fight in infinity war for no reason,Negative,-0.05
